URI	membersInSweden	members	label
http://www.wikidata.org/entity/Q65954138	0	4242	Axis Bank branch
http://www.wikidata.org/entity/Q7551933	0	4220	mahallah
http://www.wikidata.org/entity/Q744099	1218	4217	hillfort
http://www.wikidata.org/entity/Q1021106	0	4169	town house
http://www.wikidata.org/entity/Q13221722	138	4162	third-level administrative country subdivision
http://www.wikidata.org/entity/Q82794	13	4022	geographic region
http://www.wikidata.org/entity/Q256020	17	3995	inn
http://www.wikidata.org/entity/Q1400565	9	3954	spur
http://www.wikidata.org/entity/Q101659	34	3942	dolmen
http://www.wikidata.org/entity/Q102202066	0	3879	Samian Ware Discovery Site
http://www.wikidata.org/entity/Q22746	134	3838	urban park
http://www.wikidata.org/entity/Q7543083	0	3812	avenue
http://www.wikidata.org/entity/Q3177968	0	3792	vivarium
http://www.wikidata.org/entity/Q12397176	0	3784	parish of Galicia
http://www.wikidata.org/entity/Q1154710	13	3773	association football venue
http://www.wikidata.org/entity/Q5327369	0	3758	chōchō
http://www.wikidata.org/entity/Q483242	10	3753	laboratory
http://www.wikidata.org/entity/Q17489143	0	3741	building with cornice
http://www.wikidata.org/entity/Q17376095	0	3733	cadastral municipality of Austria
http://www.wikidata.org/entity/Q1723032	0	3723	kamienica
http://www.wikidata.org/entity/Q1785071	6	3710	fort
http://www.wikidata.org/entity/Q8776398	0	3689	collective population entity of Spain
http://www.wikidata.org/entity/Q846659	1	3686	Jewish cemetery
http://www.wikidata.org/entity/Q813672	0	3683	basin
http://www.wikidata.org/entity/Q15069452	36	3681	Natura 2000 protected area
http://www.wikidata.org/entity/Q56351315	0	3666	Japanese upper secondary school
http://www.wikidata.org/entity/Q427287	1	3655	wat
http://www.wikidata.org/entity/Q83554028	0	3655	Gendarmerie barracks
http://www.wikidata.org/entity/Q335778	1	3619	polling place
http://www.wikidata.org/entity/Q191360	3576	3611	foundation
http://www.wikidata.org/entity/Q1484611	0	3604	buurtschap
http://www.wikidata.org/entity/Q4663385	4	3591	former railway station
http://www.wikidata.org/entity/Q19953632	0	3575	former administrative territorial entity
http://www.wikidata.org/entity/Q18691601	0	3537	ward of Tanzania
http://www.wikidata.org/entity/Q18706073	0	3532	Public institution of intermunicipal cooperation with own taxation
http://www.wikidata.org/entity/Q11755959	0	3523	multi-storey urban building
http://www.wikidata.org/entity/Q98094425	0	3496	Station of the Cross
http://www.wikidata.org/entity/Q372363	0	3483	geotope
http://www.wikidata.org/entity/Q5526694	0	3483	Gasthaus
http://www.wikidata.org/entity/Q83620	3	3467	thoroughfare
http://www.wikidata.org/entity/Q655686	1	3460	commercial building
http://www.wikidata.org/entity/Q61878	0	3456	barangay
http://www.wikidata.org/entity/Q1530705	0	3452	village development committee of Nepal
http://www.wikidata.org/entity/Q28912853	0	3451	fraction
http://www.wikidata.org/entity/Q2500304	0	3440	district electoral division
http://www.wikidata.org/entity/Q19658107	0	3432	neighborhood of Brazil
http://www.wikidata.org/entity/Q185187	8	3429	watermill
http://www.wikidata.org/entity/Q615980	3422	3422	parish of the Church of Sweden
http://www.wikidata.org/entity/Q1088552	0	3419	Catholic church building
http://www.wikidata.org/entity/Q567998	2974	3412	bathing water
http://www.wikidata.org/entity/Q28111	0	3411	township in the United States
http://www.wikidata.org/entity/Q83405	53	3390	factory
http://www.wikidata.org/entity/Q21061279	0	3364	stained glass window
http://www.wikidata.org/entity/Q70208	0	3360	municipality of Switzerland
http://www.wikidata.org/entity/Q73839412	0	3341	Indian Overseas Bank branch
http://www.wikidata.org/entity/Q170321	4	3335	wetland
http://www.wikidata.org/entity/Q11832720	0	3317	grave slab
http://www.wikidata.org/entity/Q152081	0	3303	concentration camp
http://www.wikidata.org/entity/Q12661150	0	3269	shrine of the crucifixion
http://www.wikidata.org/entity/Q631305	0	3265	rock formation
http://www.wikidata.org/entity/Q1549591	6	3249	big city
http://www.wikidata.org/entity/Q1630622	2	3220	drinking fountain
http://www.wikidata.org/entity/Q65954125	0	3215	Yes Bank branch
http://www.wikidata.org/entity/Q4224624	0	3179	kmetstvo of Bulgaria
http://www.wikidata.org/entity/Q2046310	0	3179	bowl barrow
http://www.wikidata.org/entity/Q1497364	8	3172	building complex
http://www.wikidata.org/entity/Q1078374	0	3169	tenement
http://www.wikidata.org/entity/Q200764	4	3167	bookstore
http://www.wikidata.org/entity/Q62011240	0	3160	dam with volume capacity of less than 3 hm³
http://www.wikidata.org/entity/Q40357	46	3136	prison
http://www.wikidata.org/entity/Q69388744	0	3132	mineral index
http://www.wikidata.org/entity/Q69529214	0	3131	Allahabad Bank branch
http://www.wikidata.org/entity/Q751708	0	3129	village in the United States
http://www.wikidata.org/entity/Q20732405	0	3122	volost of the Russian Empire
http://www.wikidata.org/entity/Q490329	0	3105	dong
http://www.wikidata.org/entity/Q22713629	1	3102	girls' school
http://www.wikidata.org/entity/Q918230	0	3093	Roman villa
http://www.wikidata.org/entity/Q15120977	8	3081	stone grave
http://www.wikidata.org/entity/Q57821	46	3077	fortification
http://www.wikidata.org/entity/Q38720	29	3075	windmill
http://www.wikidata.org/entity/Q861951	0	3074	police station
http://www.wikidata.org/entity/Q3024240	1	3063	historical country
http://www.wikidata.org/entity/Q55463514	0	3051	tribal area
http://www.wikidata.org/entity/Q47089	2	3042	fault
http://www.wikidata.org/entity/Q63565252	3	3031	brook
http://www.wikidata.org/entity/Q1021645	9	3023	office building
http://www.wikidata.org/entity/Q5527082	0	3019	gatepost
http://www.wikidata.org/entity/Q207934	14	3015	allée
http://www.wikidata.org/entity/Q1107656	17	3007	garden
http://www.wikidata.org/entity/Q150784	3	3007	canyon
http://www.wikidata.org/entity/Q182676	11	2991	mountain hut
http://www.wikidata.org/entity/Q60169073	0	2982	ward of Nigeria
http://www.wikidata.org/entity/Q1210334	19	2968	railway bridge
http://www.wikidata.org/entity/Q24036024	0	2961	apylinkė
http://www.wikidata.org/entity/Q1365179	0	2952	private mansion
http://www.wikidata.org/entity/Q1307276	2	2949	single-family detached home
http://www.wikidata.org/entity/Q71713967	0	2945	Union Bank of India branch
http://www.wikidata.org/entity/Q16974307	0	2931	Dwór
http://www.wikidata.org/entity/Q3055118	0	2927	single entity of population
http://www.wikidata.org/entity/Q591942	0	2922	distributary
http://www.wikidata.org/entity/Q18652188	0	2894	Gaqaa
http://www.wikidata.org/entity/Q6784672	0	2884	municipality of Slovakia
http://www.wikidata.org/entity/Q44782	24	2880	port
http://www.wikidata.org/entity/Q659103	0	2862	commune of Romania
http://www.wikidata.org/entity/Q34841063	0	2861	seat of the local council
http://www.wikidata.org/entity/Q856234	190	2860	academic library
http://www.wikidata.org/entity/Q15071808	0	2825	sielsaviet of Belarus
http://www.wikidata.org/entity/Q2590631	0	2814	municipality of Hungary
http://www.wikidata.org/entity/Q66496996	0	2814	Andhra Bank branch
http://www.wikidata.org/entity/Q55818	1	2807	impact crater
http://www.wikidata.org/entity/Q73986959	0	2807	Indian Bank branch
http://www.wikidata.org/entity/Q74047	0	2783	ghost town
http://www.wikidata.org/entity/Q73717181	0	2759	Industrial Development Bank of India branch
http://www.wikidata.org/entity/Q12809484	0	2752	township-level division similar to townships
http://www.wikidata.org/entity/Q2082774	988	2737	shieling
http://www.wikidata.org/entity/Q12813115	2719	2720	urban area in Sweden
http://www.wikidata.org/entity/Q921099	4	2718	boundary marker
http://www.wikidata.org/entity/Q517820	0	2716	carriage house
http://www.wikidata.org/entity/Q131734	11	2697	brewery
http://www.wikidata.org/entity/Q12731	41	2692	dead end street
http://www.wikidata.org/entity/Q11722303	2628	2628	rural municipality of Sweden and Finland
http://www.wikidata.org/entity/Q15642541	4	2619	human-geographic territorial entity
http://www.wikidata.org/entity/Q66877717	0	2610	UCO Bank branch
http://www.wikidata.org/entity/Q1068842	20	2596	footbridge
http://www.wikidata.org/entity/Q5773747	0	2594	historic house
http://www.wikidata.org/entity/Q62009185	0	2581	dam with height less than 10 meters
http://www.wikidata.org/entity/Q695850	40	2579	airbase
http://www.wikidata.org/entity/Q385994	2	2561	special library
http://www.wikidata.org/entity/Q757292	19	2557	border checkpoint
http://www.wikidata.org/entity/Q15125752	0	2557	rural district of Iran
http://www.wikidata.org/entity/Q17540983	0	2546	open air site
http://www.wikidata.org/entity/Q3910694	0	2544	civil parishes of Ireland
http://www.wikidata.org/entity/Q13231610	0	2537	Borda
http://www.wikidata.org/entity/Q18333556	2523	2523	registration district in Sweden
http://www.wikidata.org/entity/Q580499	0	2522	oratory
http://www.wikidata.org/entity/Q17715832	14	2515	castle ruin
http://www.wikidata.org/entity/Q40211238	0	2514	churchyard wall
http://www.wikidata.org/entity/Q19691007	0	2511	institutional complex
http://www.wikidata.org/entity/Q1307347	0	2497	boundary
http://www.wikidata.org/entity/Q2785216	0	2493	municipality section
http://www.wikidata.org/entity/Q19833736	0	2489	chest tomb
http://www.wikidata.org/entity/Q55075651	1	2482	upland
http://www.wikidata.org/entity/Q167346	10	2481	botanical garden
http://www.wikidata.org/entity/Q56398194	0	2480	core municipal part with the same name as the municipality in the Czech Republic
http://www.wikidata.org/entity/Q82117	2	2475	city gate
http://www.wikidata.org/entity/Q1852859	0	2470	populated place in the Netherlands
http://www.wikidata.org/entity/Q8514	0	2470	desert
http://www.wikidata.org/entity/Q22580836	0	2470	village in Latvia
http://www.wikidata.org/entity/Q18761864	1	2467	bank building
http://www.wikidata.org/entity/Q1523821	2457	2461	socken
http://www.wikidata.org/entity/Q1935728	2081	2458	stone circle
http://www.wikidata.org/entity/Q1251403	126	2457	alleyway
http://www.wikidata.org/entity/Q2326815	0	2456	municipal library
http://www.wikidata.org/entity/Q1015644	1	2455	Burgstall
http://www.wikidata.org/entity/Q12020836	0	2455	timber-framed house
http://www.wikidata.org/entity/Q66768699	0	2452	Corporation Bank branch
http://www.wikidata.org/entity/Q1129743	0	2440	filial church
http://www.wikidata.org/entity/Q64578911	80	2404	former hospital
http://www.wikidata.org/entity/Q21869758	0	2401	delegated commune
http://www.wikidata.org/entity/Q87193797	0	2387	tjern / tjärn
http://www.wikidata.org/entity/Q190429	0	2386	depression
http://www.wikidata.org/entity/Q66576265	0	2371	Bank of India branch
http://www.wikidata.org/entity/Q667509	0	2369	municipality of Austria
http://www.wikidata.org/entity/Q105731	8	2359	lock
http://www.wikidata.org/entity/Q45776	66	2337	fjord
http://www.wikidata.org/entity/Q1128397	0	2326	convent
http://www.wikidata.org/entity/Q106259	0	2319	polder
http://www.wikidata.org/entity/Q162875	4	2303	mausoleum
http://www.wikidata.org/entity/Q106492558	0	2288	Q106492558
http://www.wikidata.org/entity/Q209465	9	2288	campus
http://www.wikidata.org/entity/Q46169	28	2282	national park
http://www.wikidata.org/entity/Q1245089	0	2281	promontory
http://www.wikidata.org/entity/Q1952852	0	2269	municipality of Mexico
http://www.wikidata.org/entity/Q1404150	1	2268	crag
